IPTV,#genre#
陕西移动,#genre#
爱上4K,http://211.137.115.110:8080/gitv_live/G_AISHANG-4K/G_AISHANG-4K.m3u8
CCTV-1高清,http://211.137.115.110:8080/gitv_live/CCTV-1-HD/CCTV-1-HD.m3u8
CCTV-2高清,http://211.137.115.110:8080/gitv_live/G_CCTV-2-HD/G_CCTV-2-HD.m3u8
CCTV-3高清,http://211.137.115.110:8080/gitv_live/G_CCTV-3-HD/G_CCTV-3-HD.m3u8
CCTV-4高清,http://211.137.115.110:8080/gitv_live/G_CCTV-4-HD/G_CCTV-4-HD.m3u8
CCTV-5高清,http://211.137.115.110:8080/gitv_live/G_CCTV-5-HD/G_CCTV-5-HD.m3u8
CCTV-5+高清,http://211.137.115.110:8080/gitv_live/G_CCTV-5PLUS/G_CCTV-5PLUS.m3u8
CCTV-6高清,http://211.137.115.110:8080/gitv_live/G_CCTV-6-HD/G_CCTV-6-HD.m3u8
CCTV-7高清,http://211.137.115.110:8080/gitv_live/G_CCTV-7-HD/G_CCTV-7-HD.m3u8
CCTV-8高清,http://211.137.115.110:8080/gitv_live/G_CCTV-8-HD/G_CCTV-8-HD.m3u8
CCTV-9高清,http://211.137.115.110:8080/gitv_live/G_CCTV-9-HD/G_CCTV-9-HD.m3u8
CCTV-10高清,http://211.137.115.110:8080/gitv_live/G_CCTV-10-HD/G_CCTV-10-HD.m3u8
CCTV-11标清,http://211.137.115.110:8080/gitv_live/CCTV-11/CCTV-11.m3u8
CCTV-12高清,http://211.137.115.110:8080/gitv_live/G_CCTV-12-HD/G_CCTV-12-HD.m3u8
CCTV-13标清,http://211.137.115.110:8080/gitv_live/CCTV-13/CCTV-13.m3u8
CCTV-14高清,http://211.137.115.110:8080/gitv_live/G_CCTV-14-HD/G_CCTV-14-HD.m3u8
CCTV-15标清,http://211.137.115.110:8080/gitv_live/G_CCTV-15/G_CCTV-15.m3u8
CCTV-17高清,http://211.137.115.110:8080/gitv_live/G_CCTV-17-HD/G_CCTV-17-HD.m3u8
CCTV-NEWS,http://211.137.115.110:8080/gitv_live/G_CCTV-NEWS/G_CCTV-NEWS.m3u8
CCTV-新娱乐,http://211.137.115.110:8080/gitv_live/G_XINYULE/G_XINYULE.m3u8
CCTV-老故事,http://211.137.115.110:8080/gitv_live/G_LAOGUSHI/G_LAOGUSHI.m3u8
CCTV-高尔夫,http://211.137.115.110:8080/gitv_live/G_GAOERFU/G_GAOERFU.m3u8
CCTV-发现之旅,http://211.137.115.110:8080/gitv_live/G_FAXIANZL/G_FAXIANZL.m3u8
CCTV-女性时尚,http://211.137.115.110:8080/gitv_live/G_NVXINGSS/G_NVXINGSS.m3u8
iptv,http://211.137.115.110:8080/gitv_live/G_IPTV-XSXP/G_IPTV-XSXP.m3u8
iptv3+,http://211.137.115.110:8080/gitv_live/G_IPTV-3PLUS/G_IPTV-3PLUS.m3u8
1iptv5+,http://211.137.115.110:8080/gitv_live/G_IPTV-5PLUS-HD/G_IPTV-5PLUS-HD.m3u8
iptv6+,http://211.137.115.110:8080/gitv_live/G_IPTV-6PLUS/G_IPTV-6PLUS.m3u8
iptv8+,http://211.137.115.110:8080/gitv_live/G_IPTV-8PLUS/G_IPTV-8PLUS.m3u8
iptv5+,http://211.137.115.110:8080/gitv_live/G_IPTV-5PLUS/G_IPTV-5PLUS.m3u8
CETV-1,http://211.137.115.110:8080/gitv_live/G_CETV-1/G_CETV-1.m3u8
CETV-2,http://211.137.115.110:8080/gitv_live/G_CETV-2/G_CETV-2.m3u8
